Date,Open,High,Low,Close,Adj Close,Volume
2023-02-14,191.940002,209.820007,189.440002,209.250000,209.250000,216455700
2023-02-15,211.759995,214.660004,206.110001,214.240005,214.240005,182108600
2023-02-16,210.779999,217.649994,201.839996,202.039993,202.039993,229586500
2023-02-17,199.990005,208.440002,197.500000,208.309998,208.309998,213080200
2023-02-21,204.990005,209.710007,197.220001,197.369995,197.369995,180018600
2023-02-22,197.929993,201.990005,191.779999,200.860001,200.860001,191828500
2023-02-23,203.910004,205.139999,196.330002,202.070007,202.070007,146360000
2023-02-24,196.330002,197.669998,192.800003,196.880005,196.880005,141965900
2023-02-27,202.029999,209.419998,201.259995,207.630005,207.630005,161028300
2023-02-28,210.589996,211.229996,203.750000,205.710007,205.710007,152619500
